Variables,BARPA_ACCESS-CM2,BARPA_ACCESS-ESM1-5,BARPA_CESM2,BARPA_CMCC-ESM2,BARPA_EC-Earth3,BARPA_MPI-ESM1-2-HR,BARPA_NorESM2-MM,CCAM_ACCESS-CM2,CCAM_ACCESS-ESM1-5,CCAM_CESM2,CCAM_CMCC-ESM2,CCAM_CNRM-ESM2-1,CCAM_EC-Earth3,CCAM_NorESM2-MM,NARCliM2_ACCESS-ESM1-5_R3,NARCliM2_ACCESS-ESM1-5_R5,NARCliM2_EC-Earth3-Veg_R3,NARCliM2_EC-Earth3-Veg_R5,NARCliM2_MPI-ESM1-2-HR_R3,NARCliM2_MPI-ESM1-2-HR_R5,NARCliM2_NorESM2-MM_R3,NARCliM2_NorESM2-MM_R5,NARCliM2_UKESM1-0-LL_R3,NARCliM2_UKESM1-0-LL_R5,QldFCP2_ACCESS-CM2,QldFCP2_ACCESS-ESM1-5_oc_r20,QldFCP2_ACCESS-ESM1-5_oc_r40,QldFCP2_ACCESS-ESM1-5_r6,QldFCP2_CMCC-ESM2,QldFCP2_CNRM-CM6-1-HR,QldFCP2_CNRM-CM6-1-HR_oc,QldFCP2_EC-Earth3,QldFCP2_FGOALS-g3,QldFCP2_GFDL-ESM4,QldFCP2_GISS-E2-1-G,QldFCP2_MPI-ESM1-2-LR,QldFCP2_MRI-ESM2-0,QldFCP2_NorESM2-MM,QldFCP2_NorESM2-MM_oc
Wet Days (RR1),0.7588870740505971,0.7235006774525992,0.7773161944448097,0.7701995856180199,0.7621967594841659,0.7672174660468773,0.7761149968843017,0.7243704200836218,0.7307719020923751,0.7509917776537817,0.7276274613848703,0.7166129204635918,0.7405531418541705,0.7442087441217023,0.6967294266742072,0.678812338789288,0.7337549338242808,0.709279029272399,0.7307174869723978,0.7022368336098934,0.7408701400136632,0.7533241410610364,0.731790030021534,0.7209741684361144,0.7798804847684524,0.7729349268437005,0.7758853701724024,0.7189912636333435,0.7309083109164597,0.7195850345494408,0.7261718983368523,0.722489763509776,0.7320950011315368,0.7251657291120905,0.7292284892436602,0.7248543642923664,0.7240707418303525,0.789264711221256,0.789881441753561
Highest One Day Rain Amount (RX1day),0.7579518086018252,0.7788027531147331,0.7307443586759632,0.7253470697917452,0.7462331294155533,0.7657739971372032,0.7037210353410183,0.7375438672381041,0.7531847255454538,0.7556168967692366,0.7458062335160848,0.7586250065936707,0.7848710659289118,0.759560565539908,0.7729036421515659,0.7442107813157309,0.7344146524784267,0.7117262451969273,0.7257047886301722,0.6898108934622147,0.6907495441881969,0.6904171920837069,0.7731042131098204,0.761243714659326,0.7954257265800451,0.7910741920353173,0.7861754837157533,0.7617752165530491,0.7560237244641609,0.7715023501060176,0.7678888956026046,0.7750103015908585,0.7740301934794354,0.7632861914591882,0.7663524679370393,0.7690740798749303,0.7798285360206776,0.7770202887435615,0.786791033623045
Simple Precipitation Intensity Index (SDII),0.6805187459781599,0.7146553923564343,0.6542303814234236,0.6492773425785091,0.6518483468062307,0.6665971775694519,0.6287449287708203,0.7147774538948852,0.7452808854634468,0.7316359578085022,0.7067174024651154,0.719334594546482,0.7499685580986262,0.7485319060840475,0.7143685596554523,0.6975335398588098,0.6876915790387889,0.6757981494638605,0.6655746875167148,0.6533662532318202,0.6631278378920429,0.6521662535268339,0.7306097446935667,0.7305334103483933,0.7105817812920814,0.718559138290842,0.7165958961819261,0.7095620958444673,0.6942209796791484,0.7182735626617676,0.712700381829483,0.7189185088485653,0.7111709513093303,0.7035656339267191,0.7117271245208585,0.7123860006086395,0.722067119878068,0.7034516858971162,0.7065901400329535
Total Precipitation (PRCPTOT),0.7421075435393204,0.7604508241992022,0.6926680578384328,0.7002554501145869,0.7437841525152737,0.7418599164154358,0.6791027689125434,0.745607281777691,0.7619687594372354,0.7599022222277505,0.7573423682950268,0.7265885143079143,0.7844240077787856,0.7567077217572313,0.7164144776037327,0.6866881526740211,0.7206434432091491,0.7001143494341101,0.7090503738916081,0.6824863097154326,0.6682575033072671,0.6887129432568126,0.7461248371649605,0.7434928174259331,0.7783593668209645,0.7715221034016131,0.7720303133722218,0.7558886695098886,0.746921327335274,0.7610222072947203,0.7645455759395555,0.7667554315703807,0.765143556010907,0.7613199606765336,0.761506617643828,0.7555790069097655,0.7674862982097391,0.7618570750174595,0.7727869804369739
Maximum Consecutive Wet Days (CWD),0.7283743145783313,0.70922109174906,0.759623771101585,0.7421580056641047,0.7422612456198937,0.747779102200558,0.7596374347432969,0.7331247675821351,0.7387333556061506,0.7421699318685765,0.7188802222101487,0.7181876159109742,0.7414209486739904,0.7190514009167595,0.6885553077728088,0.6672612293026606,0.7348705611992693,0.7142411284569499,0.739865577522526,0.7131942576088846,0.7526062111226997,0.7574416656657048,0.7152375354184544,0.7027501468379277,0.7003001478856363,0.6868436425037405,0.7019822455256215,0.7018710016287788,0.735650378494014,0.6956487732256033,0.6959060185511414,0.7089868184656561,0.7183727383241062,0.6991002353035027,0.7236066769697608,0.7206603788971782,0.7098779806693798,0.7479799264477728,0.7431765132132135
Maximum value of Daily Maximum Temperature (TXx),0.7611002437351898,0.7487940219682624,0.7455284356036612,0.7519553380407749,0.7432446168023343,0.7545296206877128,0.7637306844847108,0.7716559965424663,0.766927278187676,0.750805529417028,0.7722378129935457,0.7486661393381575,0.7659222920705899,0.7160837684105007,0.7589274677011338,0.7534359083912714,0.7584077332084966,0.7527562575761888,0.761469808529771,0.7577435701807037,0.7798666093601547,0.7860049923306567,0.7761036015253795,0.780658462361081,0.810871953819466,0.8204165213436727,0.8149163077700095,0.8193592157058353,0.8108999065685396,0.8171268755045535,0.8195269229878239,0.8138375887397039,0.8136517925432736,0.8149387722558512,0.8149077674215857,0.8158161285944479,0.8192298623279743,0.8094066993076637,0.8142024914669198
Maximum value of Daily Minimum Temperature (TNx),0.7647288459873846,0.7583865220499751,0.7645376961724504,0.773484023277725,0.7442177963981608,0.7648584952970141,0.787566064000109,0.7896345390097543,0.7846433259093464,0.7664398019339307,0.7843788918968347,0.7545651734052787,0.7697940829540099,0.7509872589290839,0.7604697992983576,0.7583060504154179,0.7504124637220422,0.7471096072179982,0.7656151550679948,0.765168005261972,0.7972797868924951,0.7979300430663623,0.790594961071619,0.7890683585360934,0.82182515827771,0.8275317178860535,0.8239252904937222,0.8285773556016431,0.82998382280859,0.8259069816292917,0.8281187060790257,0.8259206586185728,0.8252478526797878,0.8268276717703398,0.8258694625363094,0.8269420757717342,0.8305966189490231,0.8258000931813123,0.8289242899461913
Mean of Daily Maximum Temperature (TX),0.768575513352566,0.7545257790443534,0.7547273851360174,0.763915605402541,0.7495538629892655,0.7597974676485212,0.7772802662660804,0.780722292395434,0.7765886733610807,0.7545277341930723,0.7763655242495724,0.7387193720536267,0.762645311356533,0.7195919564940014,0.7623829581412878,0.7534489675190489,0.7655776341045729,0.7555341220193594,0.7645962214814865,0.7597955267478558,0.7918826744808067,0.7988883283130048,0.7872629503123932,0.7901594194474802,0.8188572287191015,0.8245489221144358,0.818962535598993,0.8206807656273591,0.8201905877461018,0.8204487130286614,0.8191043088867094,0.8176248763997827,0.8186257605592594,0.8186477547026325,0.8182882947761542,0.8206916135727695,0.8234122687534147,0.8170282014151343,0.8211278352354201
Mean value of Daily Minimum Temperature (TN),0.755989843770872,0.7406872746998736,0.7587860143683027,0.7708627825565995,0.7345462260720979,0.7577052970796083,0.7859427214395549,0.7834765559194706,0.7728805965149923,0.7509581071064103,0.7734818606089038,0.7488545706636904,0.7508570458157053,0.7651603119705916,0.7360492511459149,0.7357733669399861,0.7441712939008921,0.742732648281625,0.7616913571604484,0.7598094446476443,0.7981387385440628,0.7981544190183494,0.7868749938455509,0.7836339868028459,0.8006029507188304,0.8081068470508279,0.8046473192579556,0.811470522448448,0.8100187304391498,0.8102357594531424,0.8099837862467453,0.8097147865058674,0.8047232252304944,0.8085257163539022,0.8056722658083798,0.8099041823151317,0.810721918224881,0.8048765552125401,0.8055556563800781
